date,open,high,low,close,volume
2016-07-29,95.4900,104.5500,94.3700,104.2100,685779600
2016-06-30,99.0200,101.8900,91.5000,95.6000,779497700
2016-05-31,93.9700,100.7300,89.4700,99.8600,900671500
2016-04-29,108.7800,112.3900,92.5100,93.7400,872383700
2016-03-31,97.6500,110.4200,97.4200,108.9900,746049600
2016-02-29,96.4700,98.8900,92.5900,96.6900,810862600
2016-01-29,102.6100,105.8500,92.3900,97.3400,1271848000
2015-12-31,118.7500,119.8600,104.8200,105.2600,921915200
2015-11-30,120.8000,123.8200,111.0000,118.3000,750640600
2015-10-30,109.0700,121.2200,107.3100,119.5000,1112512100
2015-09-30,110.1500,116.8900,107.3600,110.3000,1206547300
2015-08-31,121.5000,122.5700,92.0000,112.7600,1606819100
2015-07-31,126.9000,132.9700,119.2200,121.3000,1058280600
2015-06-30,130.2800,131.3900,124.4800,125.4300,878606700
2015-05-29,126.1000,132.9700,123.3600,130.2800,954152100
2015-04-30,124.8200,134.5400,123.1000,125.1500,996135500
2015-03-31,129.2500,130.2800,121.6300,124.4300,1138642100
2015-02-27,118.0500,133.6000,116.0800,128.4600,1136535200
2015-01-30,111.3900,120.0000,104.6300,117.1600,1305263400
2014-12-31,118.8100,119.2500,106.2600,110.3800,1073594600
2014-11-28,108.2200,119.7500,107.7200,118.9300,820408200
2014-10-31,100.5900,108.0400,95.1800,108.0000,1360280200
2014-09-30,103.0600,103.7400,96.1400,100.7500,1526420000
2014-08-29,94.9000,102.9000,93.2800,102.5000,937077000
2014-07-31,93.5200,99.4400,92.5700,95.6000,1035086000
2014-06-30,90.5657,95.0500,88.9286,92.9300,1206934800
2014-05-30,84.5714,92.0243,82.9043,90.4286,1433917100
2014-04-30,76.8229,85.6329,73.0471,84.2986,1608765200
2014-03-31,74.7743,78.4286,74.6871,76.6771,1250424700
2014-02-28,71.8014,78.7414,71.3286,75.1771,1470091700
2014-01-31,79.3829,80.0286,70.5071,71.5143,2191488600
2013-12-31,79.7143,82.1629,76.9714,80.1457,1764349300
2013-11-29,74.8600,79.7614,73.1971,79.4386,1306288900
2013-10-31,68.3500,77.0357,68.3257,74.6714,1959433000
2013-09-30,70.4429,72.5600,63.8886,68.1071,2157735300
2013-08-30,65.1071,73.3914,64.7514,69.6029,2014584600
2013-07-31,57.5271,65.3343,57.3171,64.6471,1634528700
2013-06-28,64.3900,64.9186,55.5529,56.6471,1754634000
2013-05-31,63.4943,66.5357,59.8429,64.2471,2361882600
2013-04-30,63.1286,63.6071,55.0143,63.2543,2740872400
2013-03-28,62.5714,67.1357,59.8571,63.2371,2294219200
2013-02-28,65.5871,69.2771,62.5229,63.0571,2336008500
2013-01-31,79.1171,79.2857,62.1429,65.0700,3280855900
2012-12-31,84.8071,84.9414,71.6043,76.0243,3033188200
2012-11-30,85.4600,86.1429,72.2500,83.6114,3232462800
2012-10-31,95.8800,96.6786,83.9571,85.0457,3035707500
2012-09-28,95.1086,100.7243,93.7143,95.3000,2299751300
2012-08-31,87.9871,97.2671,85.7500,95.0343,2069051600
2012-07-31,83.5329,88.5529,81.4286,87.2514,2227412600
2012-06-29,81.3086,84.2857,78.3571,83.4286,1963956400
2012-05-31,83.5571,85.2514,74.5971,82.5329,2776586400
2012-04-30,85.9757,92.0000,79.2857,83.4257,3899747600
2012-03-30,78.3100,88.7786,73.7457,85.6500,3896084500
2012-02-29,65.4871,78.2300,64.8543,77.4914,2842138600
2012-01-31,58.4857,65.4629,58.4286,65.2114,1714963600
2011-12-30,54.6486,58.4414,53.9543,57.8571,1576633100
2011-11-30,56.7729,58.2857,51.9029,54.6000,2240925400
2011-10-31,54.3386,60.9571,50.6057,57.8257,3285356900
2011-09-30,55.1171,60.4086,52.3543,54.4743,2994362000
2011-08-31,56.8257,57.0714,50.4314,54.9757,4035649800
2011-07-29,47.9929,57.7857,47.7429,55.7829,2663486700
2011-06-30,49.8386,50.3043,44.3571,47.9529,2315962600
2011-05-31,49.9629,50.2614,47.0600,49.6900,1728015100
2011-04-29,50.1586,50.7329,45.7371,50.0186,2313457300
2011-03-31,50.7814,51.6671,46.6086,49.7871,2826614700
2011-02-28,48.7571,52.1286,48.2457,50.4586,2323987400
2011-01-31,46.5200,49.8000,46.4057,48.4743,2710383900
2010-12-31,45.0386,46.6657,44.9843,46.0800,1743308700
2010-11-30,43.1743,45.9000,42.5371,44.4500,2377021500
2010-10-29,40.8786,45.5714,39.6814,42.9971,3058644400
2010-09-30,35.3529,42.1043,35.1829,40.5357,2962479800
2010-08-31,37.2057,37.7543,33.6514,34.7286,2397280200
2010-07-30,36.3286,37.9986,34.2286,36.7500,3917426100
2010-06-30,37.0986,39.8586,34.6000,35.9329,4162813200
2010-05-28,37.6914,38.2686,28.4643,36.6971,4520663700
2010-04-30,33.9157,38.9229,33.2500,37.2986,3091782400
2010-03-31,29.3929,33.9257,29.3500,33.5714,3038543200
2010-02-26,27.4814,29.3100,27.2643,29.2314,2694020000
2010-01-29,30.4900,30.7986,27.1786,27.4371,3792248600
2009-12-31,28.8914,30.5643,26.9543,30.1043,2848489700
2009-11-30,27.1143,29.7143,26.5100,28.5586,2113696200
2009-10-30,26.4786,29.8157,25.8143,26.9286,3239044200
2009-09-30,23.9986,26.9857,23.4443,26.4786,2497329800
2009-08-31,23.6014,24.6414,22.7743,24.0300,2041281200
2009-07-31,20.5000,23.5714,19.2029,23.3414,2735534200
2009-06-30,19.4957,20.9143,18.9829,20.3471,3168893000
2009-05-29,17.9714,19.4143,17.0543,19.4014,2364285700
2009-04-30,14.8700,18.1714,14.8414,17.9757,2955420300
2009-03-31,12.5886,15.7114,11.7614,15.0171,3856149500
2009-02-27,12.7286,14.7143,12.3586,12.7586,3466862700
2009-01-30,12.2686,13.8814,11.1714,12.8757,4526435200
2008-12-31,13.0429,14.8000,12.0786,12.1929,5053461700
2008-11-28,15.1329,15.9700,11.3057,13.2386,5904865400
2008-10-31,15.9886,16.6286,12.1429,15.3700,10356677800
2008-09-30,24.6286,24.7857,14.3700,16.2371,6016890600
2008-08-29,22.8429,25.7786,21.8443,24.2186,3271438800
2008-07-31,23.4614,25.8443,20.9329,22.7071,4937440200
2008-06-30,26.9429,27.1357,23.4500,23.9200,4868948700
2008-05-30,24.9943,27.4629,24.5714,26.9643,4647053600
2008-04-30,20.9000,25.7143,20.5157,24.8500,5696745600
2008-03-31,17.7771,20.8200,16.8571,20.5000,5731818400
2008-02-29,19.4629,19.5129,16.4914,17.8600,6216488600
2008-01-31,28.4671,28.6086,18.0200,19.3371,8793472100
2007-12-31,25.9800,28.9943,25.2843,28.2971,4313169700
2007-11-30,26.9429,27.5257,21.5186,26.0314,6549947600
2007-10-31,22.0900,27.1600,21.8471,27.1357,5819447900
2007-09-28,19.9914,22.1429,18.5714,21.9243,5232805900
2007-08-31,19.0914,19.9500,15.9457,19.7829,6090199500
2007-07-31,17.2929,21.2743,17.0429,18.8229,6004643400
